POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE
2,0,0,2,0,1300.236407,1,1,2844,12.96991,77.59796
1,0,0,2,0,1275.0,1,1,6576,12.274538,76.644605
2,0,0,2,0,933.1597222,1,1,2256,12.778033,77.632191
2,0,1,2,0,929.9211427,1,1,5095,28.6423,77.3445
1,1,0,2,0,999.009247,0,1,3830,22.5922,88.484911
2,0,0,3,0,1250.0,1,1,5829,10.03328,76.28257099999998
1,0,0,3,0,1495.053957,1,1,5808,26.916347,75.7956
2,0,1,3,0,1181.012946,1,1,2690,30.74,76.65
1,0,1,2,0,1040.0,1,1,871,13.054202,77.674002
2,0,1,2,0,879.1208791000001,1,1,1190,12.95161,80.14097
2,0,0,3,0,1350.308642,1,1,1353,26.724219,88.326357
1,0,0,2,0,1333.010179,1,1,1975,13.04034,77.591347
2,0,0,2,0,927.1779023,1,1,1676,12.96991,77.59796
2,0,1,2,0,1122.1719460000004,1,1,5141,28.587711,77.403123
2,0,0,1,0,649.9837504,1,1,6855,13.0352,77.5772
1,1,1,3,0,1394.117647,0,1,5186,28.429614,77.481711
2,0,0,3,0,1800.08471,1,1,2252,20.275267000000003,85.86240699999998
1,1,1,3,0,2124.896706,0,1,2770,12.8855,77.5638
2,0,0,2,0,1100.0,1,1,3557,21.15389,79.08306
1,0,1,3,0,2178.649237,1,1,2747,13.092356,77.61346800000003
2,0,0,2,0,881.1435285,1,1,4261,13.05,80.11
1,0,0,2,0,944.8818898,1,1,6261,18.452663,73.93104
1,0,1,3,0,1310.147689,1,1,5163,28.5041,77.381557
1,0,0,1,0,630.00063,1,1,596,19.05444,72.84056
1,0,0,2,0,1219.80971,1,1,3639,21.105779,79.078497
2,0,0,2,0,780.141844,1,1,2849,22.54111,88.33778000000002
2,0,0,3,0,1600.0,1,1,4711,28.63601,77.433724
1,0,0,2,0,1180.412371,1,1,5136,30.712867,76.648557
2,1,0,2,0,1000.0,0,1,3402,24.48,86.7
1,0,0,2,0,1000.0,1,1,207,28.2102,76.8606
1,0,0,3,0,1400.107701,1,1,5075,28.40473,77.367514
1,0,1,2,0,943.1266076,1,1,5163,28.5041,77.381557
2,0,0,2,0,1150.146382,1,1,2100,26.586306,74.873234
1,1,1,1,0,864.0674393999999,0,1,6100,19.18,72.96333
1,0,1,2,0,857.7861968000002,1,0,3473,19.1759,72.9522
2,0,0,3,0,1174.210077,1,1,6095,12.852171,80.216826
1,1,1,2,0,1020.087884,0,1,6624,18.5993,73.7625
2,0,0,4,0,1650.165017,1,1,6427,22.312063,72.674296
1,1,0,2,0,1000.0,0,1,3070,17.815234,83.35818
2,0,0,3,0,1300.052002,1,1,6415,12.894088,77.548914
1,1,1,1,0,40606.19568,0,0,2485,24.69028,78.41889
1,0,1,2,0,1058.114928,1,1,5949,18.539812,73.737678
1,1,0,1,0,400.0,0,1,2686,18.5438,73.9438
1,0,1,3,0,1274.924779,1,1,3283,22.803593,83.755013
1,0,0,2,0,1026.694045,1,1,6597,19.014858,72.8662
2,0,0,2,0,1150.121065,1,1,3690,20.366670000000006,72.9
2,0,0,3,0,1200.0,1,1,4131,28.460928000000006,77.03939100000002
1,0,0,1,1,475.0103263,1,1,570,24.69028,78.41889
0,1,1,1,0,301.9171163000001,0,0,6021,24.69028,78.41889
1,1,1,2,0,1228.571429,0,1,893,12.843852,74.845271
2,0,0,2,0,986.0164934,1,1,443,13.077175,80.151453
1,1,1,3,0,1972.565158,0,1,5079,28.431862,77.351104
1,1,1,1,0,420.6166888,0,1,5765,19.048403,72.88731
2,0,0,3,0,1275.009808,1,1,5675,25.232239,71.392013
1,1,1,1,0,406.024219,0,0,2415,19.245347,73.124577
1,0,0,3,0,1862.562189,1,1,5079,28.431862,77.351104
2,0,0,2,0,950.0146156,1,1,3603,19.88879,75.34344
2,0,1,4,0,5200.945626,1,1,5451,28.567633,77.383124
1,0,0,2,0,1049.969344,1,1,666,12.985039,77.54383
1,0,0,3,0,1615.008157,1,1,3234,22.589694,88.372957
1,0,0,3,0,1150.0069,1,1,6597,19.014858,72.8662
2,0,0,2,0,1100.0,1,1,2255,26.955346,75.73479300000002
1,1,1,2,0,906.2661833,0,0,570,24.69028,78.41889
2,0,0,3,0,1454.333915,1,1,4254,10.77,76.38
2,0,0,3,0,1591.994542,1,1,5165,28.506454,77.40956800000002
1,0,1,2,0,573.8769151,1,1,5077,28.406388,77.342588
1,0,1,3,0,1038.883942,1,1,4270,19.12,72.91
2,0,0,3,0,1538.141758,1,1,6685,13.11389,77.59833
2,0,0,2,0,5000.0,1,1,3195,26.850391,75.814198
1,0,0,3,0,1602.084012,1,1,5065,28.368269,77.37273
2,0,0,2,0,1200.0,1,1,3069,16.51667,80.61667
2,0,0,2,0,760.0709400000002,1,1,6165,15.86667,74.5
2,1,0,2,0,739.8273736000001,0,1,6879,23.25,77.41667
2,0,0,2,0,1260.02291,1,1,3466,13.0915,74.7844
2,0,0,2,0,1100.151745,1,1,3214,21.093676,79.111965
1,0,1,3,0,2293.077091,1,1,2686,18.5438,73.9438
1,0,0,2,0,1146.480331,1,1,5471,19.216097,72.821721
1,0,1,4,0,2224.059764,1,1,1815,19.1615,72.8731
1,0,0,2,0,759.8784195000002,1,1,2271,22.452032,88.298947
2,0,0,4,0,2260.251857,1,1,6660,12.9506,77.5952
1,0,0,3,0,767.0182167,1,1,1251,20.742166,80.104602
2,0,0,4,0,2500.0,1,1,4529,28.66667,77.41667
1,1,1,4,0,2286.236854,0,1,1794,21.0,77.0
2,0,1,2,0,1150.086256,1,1,5447,28.577673,77.389781
1,0,1,2,0,1004.932182,1,1,3804,18.966114,73.148278
2,0,0,2,0,800.0,1,1,4288,22.56972,88.36972
1,1,0,3,0,993.75,0,1,5876,26.706157,88.439748
1,0,0,2,0,1298.139334,1,1,2216,23.169982,77.477889
1,0,1,2,0,996.797438,1,1,4422,26.900926,75.775927
2,0,0,2,0,985.0194952,1,1,976,12.98556,77.66389000000002
1,0,0,3,0,1118.75,1,1,3327,12.91716,80.19287
1,0,1,2,0,889.8305085000002,1,1,5165,28.506454,77.40956800000002
2,0,0,3,0,2738.22563,1,1,658,12.863421,77.652405
1,1,1,4,0,1725.4901960000002,0,0,1343,19.049513,72.91920400000002
1,1,1,3,0,2488.004265,0,1,5477,30.654128000000004,76.732427
1,0,0,3,0,1200.082764,1,1,4865,23.207157,88.404471
1,0,0,2,0,1584.283904,1,1,6158,26.459137,79.506922
2,0,0,2,0,900.0,1,1,2399,23.2257,72.51679
1,0,1,2,0,1193.440032,1,1,6011,18.441256,74.647361
